711. [101002][10100200] M16A4 automatic rifle | assault rifle.
898. [203006][20300600] M16A4 mechanical sight |
947. [204016][20401600] Parallel magazine ( automatic rifle ) | Significantly increases magazine capacity. AKM , M762 , M416 , M16A4 , SCAR _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _
949. [204018][20401800] ### Parallel magazine pre-research | Significantly increase the magazine capacity. AKM , M762 , M416 , M16A4 , SCAR _ _ _ _ _ _ _ _ _ _ _ _ _ _ _
957. [205007][20500700] M16A4 default stock |
977. [208001][20800100] Fully automatic gun | Allows the firearm to obtain fully automatic firing mode. It can only be equipped with M16A4 , MK47 and continuous sniper rifles .
1111. [281002][28100200] M16A4 assault rifle default muzzle |
1122. [291002][29100200] M16A4 assault rifle default magazine |
1170. [303001][30300100] 5.56mm bullet | M16A4 , M416 , SCAR-L , AUG , M249 , Mini14 , Q?????easy? ???? ? ??View ? ? ? ? ?
2493. [1010021][101002100] M16A4 Automatic Rifle (Broken) | Broken weapon with only a few accessories available
2494. [1010022][101002200] M16A4 Automatic Rifle (Repaired) | The repaired weapon can be equipped with most accessories
2495. [1010023][101002300] M16A4 automatic rifle (mint) | intact weapon, all accessories can be used
2496. [1010024][101002400] M16A4 automatic rifle (improved) | Improved weapon, all accessories can be used, and the damage is increased by 15%
2497. [1010025][101002500] M16A4 automatic rifle (refined) | High-precision manufacturing of weapons, all accessories can be used, and the damage is increased by 30%
2879. [1400058][1400058] M16A4 white parachute | Parachute for M16A4 enthusiasts .
2880. [1400059][1400059] M16A4 military green parachute | M16A4 military training parachute.
11643. [1518002][0] Rainforest Gold Treasure Chest | After opening, you will get one of the Golden Sandbar -M16A4 , Death Messenger Mask and other rewards.
19096. [1732052][1732052] ### Streamer M16A4 |
21336. [2080011][208001000] Fully automatic bolt action | Allows the firearm to obtain fully automatic firing mode. It is limited to M16A4 , MK47 and burst sniper rifles.
23803. [6004004][6004004] M16A4 Automatic Rifle - Gold Medal | Become a gun god! With this firearm, you are unstoppable and invincible!
23804. [6004005][6004005] M16A4 automatic rifle - Silver | Man and gun in one! Facing powerful enemies, this firearm is your best partner!
23805. [6004006][6004006] M16A4 Automatic Rifle - Bronze Medal | No shots missed! Your use of this firearm is already perfect!
25975. [101002001][101002001] Shark Teeth -M16A4 |
25976. [101002002][101002002] Qingyao -M16A4 |
26428. [419004190][419004190] 190M16A4 ???? ? ??? ? ???? |
26445. [441400058][1400058] M16A4 white parachute | Parachute for M16A4 enthusiasts .
26446. [441400059][1400059] M16A4 military green parachute | M16A4 military training parachute.
26874. [911002003][1101002003] Star -M16A4 | The gun body is decorated in a popular low polygon style, as if it depicts an intricate multi-dimensional universe.
26875. [911002004][1101002004] Yellow minimalist -M16A4 | Yellow minimalist -M16A4 , minimalist pure black, golden trim, hardcore style conquers the battlefield.
26876. [911002005][1101002005] Rugged(Beige)-M16A4 | Rugged(Beige)-M16A4 , elegant style, graceful and classic, stable performance ???? easy? ????? ? ??? ? ? ? fen
26878. [911002008][1101002008] Trembling City -M16A4 | Trembling City -M16A4 , terrifying and trembling, cool city, stable firepower to control the overall situation.
26917. [911400058][1400058] M16A4 white parachute | Parachute for M16A4 enthusiasts .
27210. [931002001][1101002001] Royal style -M16A4 | The white part is made of high- strength ceramics to create a marble pattern texture, and other parts are decorated with gold carvings.?????easy? ?????? ??? ? ? ??
27211. [931002006][1101002006] Leaf Blade -M16A4 | Leaf Blade -M16A4 , precise shooting, low-key and deadly, just like the Leaf Blade cutting the throat silently.
27635. [1010020011][1010020011] Royal Style -M16A4 Magazine |
27636. [1010020012][1010020012] Royal Style -M16A4 Muzzle |
27637. [1010020013][1010020013] Royal Style -M16A4 Sight |
27638. [1010020014][1010020014] Royal Style -M16A4 Gun Stock |
27639. [1010020019][1010020019] Shark Teeth -M16A4 Gun Stock |
27640. [1010020021][1010020021] Asimov -M16A4 Magazine |
27641. [1010020022][1010020022] Asimov -M16A4 muzzle |
27642. [1010020023][1010020023] Asimov -M16A4 sight |
27643. [1010020024][1010020024] Asimov -M16A4 gun stock |
27644.[1010020029][1010020029] Qingyao -M16A4 Gun Stock |
27645. [1010020031][1010020031] Xingchen -M16A4 Magazine |
27646. [1010020032][1010020032] Xingchen -M16A4 Muzzle |
27647. [1010020033][1010020033] Star -M16A4 sight |
27648. [1010020034][1010020034] Xingchen -M16A4 Gun Stock |
27649. [1010020041][1010020041] Yellow Minimalist -M16A4 Magazine |
27650. [1010020042][1010020042] Yellow minimalist -M16A4 muzzle |
27651. [1010020043][1010020043] Yellow Minimalist -M16A4 Sight |
27652. [1010020044][1010020044] Yellow minimalist -M16A4 stock |
27653. [1010020051][1010020051] Rugged(Beige)-M16A4 Magazine |
27654. [1010020052][1010020052] Rugged(Beige)-M16A4 Muzzle |
27655. [1010020053][1010020053] Rugged(Beige)-M16A4 sight |
27656. [1010020054][1010020054] Rugged(Beige)-M16A4 stock |
27673. [1010020111][1010020111] The Queen of Extreme Ice -M16A4 Magazine |
27674. [1010020112][1010020112] The Queen of Extreme Ice -M16A4 Muzzle |
27675. [1010020113][1010020113] The Queen of Extreme Ice -M16A4 Sight |
27676. [1010020114][1010020114] The Queen of Extreme Ice -M16A4 Gun Stock |
27677. [1010020182][1010020182] M16A4 Muzzle ( Level 7 ) |
27678. [1010020191][1010020191] Nutcracker -M16A4 Magazine |
27679. [1010020192][1010020192] Nutcracker -M16A4 Muzzle |
27680. [1010020193][1010020193] Nutcracker -M16A4 sight |
27681. [1010020194][1010020194] Nutcracker -M16A4 Gun Stock |
27682. [1010020201][1010020201] Frost Core -M16A4 Magazine |
27683. [1010020202][1010020202] Frost Core -M16A4 Muzzle |
27684. [1010020203][1010020203] Frost Core -M16A4 Sight |
27685. [1010020204][1010020204] Frost Core -M16A4 Gun Stock |
27686. [1010020231][1010020231] Blood Storm -M16A4 Magazine ( Level 1 ) |
27687. [1010020232][1010020232] Blood Storm -M16A4 Muzzle ( Level 1 ) |
27688. [1010020233][1010020233] Blood Storm -M16A4 Sight ( Level 1 ) |
27689. [1010020234][1010020234] Blood Storm -M16A4 Gun Stock ( Level 1 ) |
27690. [1010020241][1010020241] Blood Storm -M16A4 Magazine ( Level 2 ) |
27691. [1010020242][1010020242] Blood Storm -M16A4 Muzzle ( Level 2 ) |
27692. [1010020243][1010020243] Blood Storm -M16A4 Sight ( Level 2 ) |
27693. [1010020244][1010020244] Blood Storm -M16A4 Gun Stock ( Level 2 ) |
27694. [1010020245][1010020245] Blood Storm -M16A4 Death Box |
27695. [1010020251][1010020251] Blood Storm -M16A4 Magazine ( Level 3 ) |
27696. [1010020252][1010020252] Blood Storm -M16A4 Muzzle ( Level 3 ) |
27697. [1010020253][1010020253] Blood Storm -M16A4 Sight ( Level 3 ) |
27698. [1010020254][1010020254] Blood Storm -M16A4 Gun Stock ( Level 3 ) |
27699. [1010020261][1010020261] Blood Storm -M16A4 Magazine ( Level 4 ) |
27700. [1010020262][1010020262] Blood Storm -M16A4 Muzzle ( Level 4 ) |
27701. [1010020263][1010020263] Blood Storm -M16A4 Sight ( Level 4 ) |
27702. [1010020264][1010020264] Blood Storm -M16A4 Gun Stock ( Level 4 ) |
27703. [1010020271][1010020271] Blood Storm -M16A4 Magazine ( Level 5 ) |
27704. [1010020272][1010020272] Blood Storm -M16A4 Muzzle ( Level 5 ) |
27705. [1010020273][1010020273] Blood Storm -M16A4 Sight ( Level 5 ) |
27706. [1010020274][1010020274] Blood Storm -M16A4 Gun Stock ( Level 5 ) |
27707. [1010020281][1010020281] Blood Storm -M16A4 Magazine ( Level 6 ) |
27708. [1010020282][1010020282] Blood Storm -M16A4 Muzzle ( Level 6 ) |
27709. [1010020283][1010020283] Blood Storm -M16A4 Sight ( Level 6 ) |
27710. [1010020284][1010020284] Blood Storm -M16A4 Gun Stock ( Level 6 ) |
27711. [1010020291][1010020291] Blood Storm -M16A4 Magazine ( Level 7 ) |
27712. [1010020292][1010020292] Blood Storm -M16A4 Muzzle ( Level 7 ) |
27713. [1010020293][1010020293] Blood Storm -M16A4 Sight ( Level 7 ) |
27714. [1010020294][1010020294] Blood Storm -M16A4 Gun Stock ( Level 7 ) |
27715. [1010020295][1010020295] Blood Storm -M16A4 Death Box |
27716. [1010020296][1010020296] Blood Storm -M16A4 Hall Death Box |
