713. [101004][10100400] M416 automatic rifle | German quality , rock solid.
900. [203008][20300800] M416 mechanical sight |
947. [204016][20401600] Parallel magazine ( automatic rifle ) | Significantly increases magazine capacity. AKM , M762 , M416 , M16A4 , SCAR _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _
949. [204018][20401800] ### Parallel magazine pre-research | Significantly increase the magazine capacity. AKM , M762 , M416 , M16A4 , SCAR _ _ _ _ _ _ _ _ _ _ _ _ _ _ _
955. [205005][20500500] M416 default stock |
965. [206102][20610200] XT Upgrade Box -M416 | Upgrade M416 to M416-XT . The speed of reloading and gun movement is increased.
1124. [291004][29100400] M416 assault rifle default magazine |
1170. [303001][30300100] 5.56mm bullet | M16A4 , M416 , SCAR-L , AUG , M249 , Mini14 , Q?????easy? ???? ? ??View ? ? ? ? ?
2432. [1000021][0] Premium Rifle Value Pack | Try your luck ~ There is a certain probability of getting M416 automatic rifle (improved), M762 automatic rifle (?????easy? ???? ? ? ?pulver ? ? ? ? ?
2439. [1000028][0] M416 suit (in good condition) | After opening , you will get the M416 automatic rifle (in good condition), 3x scope , and rifle muzzle compensator (in good condition)????? easy? ?????hard ??? ? ? ? ?
2444. [1000033][0] One-eyed Snake M416 Lucky Gift Pack | Get random props every time you use it , and there is a certain probability of getting the exquisite One-eyed Snake M416 automatic rifle.
2445. [1000034][0] Steel Front M416 Lucky Gift Pack | Get random props every time you use it , and there is a certain probability of getting the exquisite Steel Front M416 automatic rifle.
2506. [1010041][101004100] M416 Automatic Rifle (Broken) | Broken weapon with only a few accessories available
2507. [1010042][101004200] M416 Automatic Rifle (Repaired) | The repaired weapon can be equipped with most accessories
2508. [1010043][101004300] M416 automatic rifle (mint) | intact weapon, all accessories can be used
2509. [1010044][101004400] M416 automatic rifle (improved) | Improved weapon, can use all accessories, damage increased by 15%
2510. [1010045][101004500] M416 automatic rifle (refined) | High-precision manufacturing of weapons, all accessories can be used, and the damage is increased by 30%
2511. [1010046][101004600] M416 Automatic Rifle (One-Eyed Snake) | Special version of One-Eyed Snake, the damage is increased by 15% , the firing sound is reduced, and the recoil control is improved
2512. [1010047][101004700] M416 Automatic Rifle (Steel Front) | Steel Front special edition, damage increased by 15% . Strengthen the durability , reload speed , and scope opening speed , and also improve the ?
2513. [1010049][101004900] M416 automatic rifle | German quality , rock solid.
12302. [1521561][0] Time and Space Roaming -M416 Gift Pack | Contains a variety of value-for-money discount items!
12306. [1521565][0] Wilderness Impression -M416 Gift Pack | Contains a variety of great value discount items!
12312. [1521571][0] Time and Space Roaming -M416 Gift Pack | Contains a variety of value-for-money discount items!
13452. [1523210][0] AU Reaper -M416 | Contains a variety of great value discount items!
13485. [1523243][0] CH Rugged (Orange) -M416 | Contains a variety of great discount items!
13492. [1523250][0] PL Rugged (Orange) -M416 | Contains a variety of great discount items!
13496. [1523254][0] TR Rugged (Orange) -M416 | Contains a variety of great discount items!
15884. [1537011][0] Recruit M416 skin gift pack | Receive one of the rewards randomly :
18081. [1621458][0] Level 2 M416 Set | Contains a variety of firearms and accessories
18085. [1621462][0] Level 3 M416 Set | Contains a variety of firearms and accessories
18286. [1700160][1101004019] Silver Plate-M416 ( 60 days) |
18287. [1700161][1101004032] Celebration Night -M416 ( 60 days) |
23809. [6004010][6004010] M416 Automatic Rifle - Gold Medal | Become a gun god! With this firearm, you are unstoppable and invincible!
23810. [6004011][6004011] M416 automatic rifle - Silver | Man and gun in one! Facing powerful enemies, this firearm is your best partner!
23811. [6004012][6004012] M416 Automatic Rifle - Bronze Medal | Missless shots! Your use of this firearm is already perfect!
24839. [12219655][12219655] M416 firearm inspection |
25243. [17001617][1101004032] Celebration Night -M416 ( 7 days) |
25970. [100400101][100400101] Gold M416 Default Stock |
25971. [100400102][100400102] Gold M416 Default Magazine |
25972. [100400103][100400103] Gold M416 default sight |
26330. [417004230][417004230] 210M416 ???? ? ??? ? ???? |
26442. [441004010][1101004010] Skeleton Hand -M416 | Skeleton Hand -M416 , stable and reliable, brutal killing, Skeleton Hand salutes you!
26754. [841004005][1101004005] Death Harvest -M416 | This weapon is decorated with a skull pattern and is embellished with green printing. I am traveling at home , and killing people and silencing them will definitely be done .
26755. [841004030][1101004030] Time and Space Odyssey -M416 |
26894. [911004003][1101004003] Graffiti Art -M416 | Street graffiti style, showing fashionable personality. Let's do some Hip-hop !
26895. [911004005][1101004005] Death Harvest -M416 | This weapon is decorated with a skull pattern and is embellished with a green print. It 's a home trip , killing people and killing them will be done .
26896. [911004006][1101004006] Dcamo-M416 | Dcamo-M416 , actual combat camouflage, professional war pattern, guaranteed strength in the battlefield!
26897. [911004007][1101004007] Blood Oath -M416 | Blood Oath -M416 , Blood Oath, strong suppression, guarding the honor of the oath!
26898. [911004009][1101004009] The power of the jungle -M416 | The power of the jungle -M416 , understand the power of the jungle, face the stubborn enemy, and be as silent as the forest.
26899. [911004010][1101004010] Skeleton Hand -M416 | Skeleton Hand -M416 , stable and reliable, brutal killing, Skeleton Hand salutes you!
26900.[911004014][1101004014] Speed Driver -M416 |
26901. [911004030][1101004030] Time and Space Odyssey -M416 |
27216. [931004003][1101004003] Graffiti Art -M416 | Street graffiti style, showing fashionable personality. Let's do some Hip-hop !
27217. [931004008][1101004008] Blood Soul -M416 | Blood Soul -M416 , deadly combat power, crazy killing, blood soul burning in the battle!
27218. [931004010][1101004010] Skeleton Hand -M416 | Skeleton Hand -M416 , stable and reliable, brutal killing, Skeleton Hand salutes you!
27219. [931004011][1101004011] Purple Cyberpunk -M416 | Purple Cyberpunk -M416 , deadly firepower, steady killing, I wish you good luck in the battle!
27220. [931004030][1101004030] Time and Space Odyssey -M416 |
28233. [1010040021][1010040021] Viper -M416 Magazine |
28234. [1010040022][1010040022] Viper -M416 sight |
28235. [1010040023][1010040023] Viper -M416 Gun Stock |
28236. [1010040031][1010040031] Graffiti Art -M416 Magazine |
28237. [1010040032][1010040032] Graffiti Art -M416 Sight |
28238. [1010040033][1010040033] Graffiti Art -M416 Gun Stock |
28239. [1010040041][1010040041] Desert Storm -M416 Magazine |
28240. [1010040042][1010040042] Desert Storm -M416 Sight |
28241. [1010040043][1010040043] Desert Storm -M416 Gun Stock |
28242. [1010040051][1010040051] Death Harvest -M416 Magazine |
